2018-01-18 11:03:55,641 machinedetest  pymodbus.server.sync DEBUG Started thread to serve client at ('127.0.0.1', 35537)
2018-01-18 11:03:55,642 machinedetest  pymodbus.server.sync DEBUG Client Connected [127.0.0.1:35537]
2018-01-18 11:03:55,642 machinedetest  pymodbus.server.sync DEBUG 0x0 0x1 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x1
2018-01-18 11:03:55,642 machinedetest  pymodbus.transaction DEBUG 0x0 0x1 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x1
2018-01-18 11:03:55,643 machinedetest  pymodbus.factory DEBUG Factory Request[1]
2018-01-18 11:03:55,643 machinedetest  pymodbus.datastore.context DEBUG validate[1] 2:1
2018-01-18 11:03:55,643 machinedetest  pymodbus.datastore.context DEBUG getValues[1] 2:1
2018-01-18 11:03:55,643 machinedetest  pymodbus.server.sync DEBUG send: 00010000000401010101
2018-01-18 11:03:55,644 machinedetest  pymodbus.server.sync DEBUG 0x0 0x2 0x0 0x0 0x0 0x6 0x1 0x5 0x0 0x0 0xff 0x0
2018-01-18 11:03:55,644 machinedetest  pymodbus.transaction DEBUG 0x0 0x2 0x0 0x0 0x0 0x6 0x1 0x5 0x0 0x0 0xff 0x0
2018-01-18 11:03:55,645 machinedetest  pymodbus.factory DEBUG Factory Request[5]
2018-01-18 11:03:55,645 machinedetest  pymodbus.datastore.context DEBUG validate[5] 1:1
2018-01-18 11:03:55,645 machinedetest  pymodbus.datastore.context DEBUG setValues[5] 1:1
2018-01-18 11:03:55,645 machinedetest  pymodbus.datastore.context DEBUG getValues[5] 1:1
2018-01-18 11:03:55,645 machinedetest  pymodbus.server.sync DEBUG send: 00020000000601050000ff00
2018-01-18 11:03:55,646 machinedetest  pymodbus.server.sync DEBUG 0x0 0x3 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x0 0x0 0x1
2018-01-18 11:03:55,646 machinedetest  pymodbus.transaction DEBUG 0x0 0x3 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x0 0x0 0x1
2018-01-18 11:03:55,647 machinedetest  pymodbus.factory DEBUG Factory Request[1]
2018-01-18 11:03:55,647 machinedetest  pymodbus.datastore.context DEBUG validate[1] 1:1
2018-01-18 11:03:55,647 machinedetest  pymodbus.datastore.context DEBUG getValues[1] 1:1
2018-01-18 11:03:55,647 machinedetest  pymodbus.server.sync DEBUG send: 00030000000401010101
2018-01-18 11:03:55,648 machinedetest  pymodbus.server.sync DEBUG 0x0 0x4 0x0 0x0 0x0 0x8 0x1 0xf 0x0 0x1 0x0 0x8 0x1 0xff
2018-01-18 11:03:55,648 machinedetest  pymodbus.transaction DEBUG 0x0 0x4 0x0 0x0 0x0 0x8 0x1 0xf 0x0 0x1 0x0 0x8 0x1 0xff
2018-01-18 11:03:55,648 machinedetest  pymodbus.factory DEBUG Factory Request[15]
2018-01-18 11:03:55,648 machinedetest  pymodbus.datastore.context DEBUG validate[15] 2:8
2018-01-18 11:03:55,648 machinedetest  pymodbus.datastore.context DEBUG setValues[15] 2:8
2018-01-18 11:03:55,649 machinedetest  pymodbus.server.sync DEBUG send: 000400000006010f00010008
2018-01-18 11:03:55,649 machinedetest  pymodbus.server.sync DEBUG 0x0 0x5 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x15
2018-01-18 11:03:55,650 machinedetest  pymodbus.transaction DEBUG 0x0 0x5 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x15
2018-01-18 11:03:55,650 machinedetest  pymodbus.factory DEBUG Factory Request[1]
2018-01-18 11:03:55,650 machinedetest  pymodbus.datastore.context DEBUG validate[1] 2:21
2018-01-18 11:03:55,650 machinedetest  pymodbus.datastore.context DEBUG getValues[1] 2:21
2018-01-18 11:03:55,650 machinedetest  pymodbus.server.sync DEBUG send: 000500000006010103ffff1f
2018-01-18 11:03:55,651 machinedetest  pymodbus.server.sync DEBUG 0x0 0x6 0x0 0x0 0x0 0x8 0x1 0xf 0x0 0x1 0x0 0x8 0x1 0x0
2018-01-18 11:03:55,651 machinedetest  pymodbus.transaction DEBUG 0x0 0x6 0x0 0x0 0x0 0x8 0x1 0xf 0x0 0x1 0x0 0x8 0x1 0x0
2018-01-18 11:03:55,651 machinedetest  pymodbus.factory DEBUG Factory Request[15]
2018-01-18 11:03:55,651 machinedetest  pymodbus.datastore.context DEBUG validate[15] 2:8
2018-01-18 11:03:55,651 machinedetest  pymodbus.datastore.context DEBUG setValues[15] 2:8
2018-01-18 11:03:55,652 machinedetest  pymodbus.server.sync DEBUG send: 000600000006010f00010008
2018-01-18 11:03:55,653 machinedetest  pymodbus.server.sync DEBUG 0x0 0x7 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,654 machinedetest  pymodbus.transaction DEBUG 0x0 0x7 0x0 0x0 0x0 0x6 0x1 0x1 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,654 machinedetest  pymodbus.factory DEBUG Factory Request[1]
2018-01-18 11:03:55,654 machinedetest  pymodbus.datastore.context DEBUG validate[1] 2:8
2018-01-18 11:03:55,654 machinedetest  pymodbus.datastore.context DEBUG getValues[1] 2:8
2018-01-18 11:03:55,655 machinedetest  pymodbus.server.sync DEBUG send: 00070000000401010100
2018-01-18 11:03:55,656 machinedetest  pymodbus.server.sync DEBUG 0x0 0x8 0x0 0x0 0x0 0x6 0x1 0x2 0x0 0x0 0x0 0x8
2018-01-18 11:03:55,656 machinedetest  pymodbus.transaction DEBUG 0x0 0x8 0x0 0x0 0x0 0x6 0x1 0x2 0x0 0x0 0x0 0x8
2018-01-18 11:03:55,657 machinedetest  pymodbus.factory DEBUG Factory Request[2]
2018-01-18 11:03:55,657 machinedetest  pymodbus.datastore.context DEBUG validate[2] 1:8
2018-01-18 11:03:55,657 machinedetest  pymodbus.datastore.context DEBUG getValues[2] 1:8
2018-01-18 11:03:55,657 machinedetest  pymodbus.server.sync DEBUG send: 000800000004010201ff
2018-01-18 11:03:55,658 machinedetest  pymodbus.server.sync DEBUG 0x0 0x9 0x0 0x0 0x0 0x6 0x1 0x6 0x0 0x1 0x0 0xa
2018-01-18 11:03:55,658 machinedetest  pymodbus.transaction DEBUG 0x0 0x9 0x0 0x0 0x0 0x6 0x1 0x6 0x0 0x1 0x0 0xa
2018-01-18 11:03:55,659 machinedetest  pymodbus.factory DEBUG Factory Request[6]
2018-01-18 11:03:55,659 machinedetest  pymodbus.datastore.context DEBUG validate[6] 2:1
2018-01-18 11:03:55,660 machinedetest  pymodbus.datastore.context DEBUG setValues[6] 2:1
2018-01-18 11:03:55,660 machinedetest  pymodbus.datastore.context DEBUG getValues[6] 2:1
2018-01-18 11:03:55,661 machinedetest  pymodbus.server.sync DEBUG send: 00090000000601060001000a
2018-01-18 11:03:55,662 machinedetest  pymodbus.server.sync DEBUG 0x0 0xa 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x1
2018-01-18 11:03:55,662 machinedetest  pymodbus.transaction DEBUG 0x0 0xa 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x1
2018-01-18 11:03:55,662 machinedetest  pymodbus.factory DEBUG Factory Request[3]
2018-01-18 11:03:55,662 machinedetest  pymodbus.datastore.context DEBUG validate[3] 2:1
2018-01-18 11:03:55,662 machinedetest  pymodbus.datastore.context DEBUG getValues[3] 2:1
2018-01-18 11:03:55,662 machinedetest  pymodbus.server.sync DEBUG send: 000a00000005010302000a
2018-01-18 11:03:55,663 machinedetest  pymodbus.server.sync DEBUG 0x0 0xb 0x0 0x0 0x0 0x17 0x1 0x10 0x0 0x1 0x0 0x8 0x10 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa
2018-01-18 11:03:55,663 machinedetest  pymodbus.transaction DEBUG 0x0 0xb 0x0 0x0 0x0 0x17 0x1 0x10 0x0 0x1 0x0 0x8 0x10 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa 0x0 0xa
2018-01-18 11:03:55,663 machinedetest  pymodbus.factory DEBUG Factory Request[16]
2018-01-18 11:03:55,663 machinedetest  pymodbus.datastore.context DEBUG validate[16] 2:8
2018-01-18 11:03:55,664 machinedetest  pymodbus.datastore.context DEBUG setValues[16] 2:8
2018-01-18 11:03:55,664 machinedetest  pymodbus.server.sync DEBUG send: 000b00000006011000010008
2018-01-18 11:03:55,665 machinedetest  pymodbus.server.sync DEBUG 0x0 0xc 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,665 machinedetest  pymodbus.transaction DEBUG 0x0 0xc 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,665 machinedetest  pymodbus.factory DEBUG Factory Request[3]
2018-01-18 11:03:55,665 machinedetest  pymodbus.datastore.context DEBUG validate[3] 2:8
2018-01-18 11:03:55,665 machinedetest  pymodbus.datastore.context DEBUG getValues[3] 2:8
2018-01-18 11:03:55,666 machinedetest  pymodbus.server.sync DEBUG send: 000c00000013010310000a000a000a000a000a000a000a000a
2018-01-18 11:03:55,666 machinedetest  pymodbus.server.sync DEBUG 0x0 0xd 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,667 machinedetest  pymodbus.transaction DEBUG 0x0 0xd 0x0 0x0 0x0 0x6 0x1 0x4 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,667 machinedetest  pymodbus.factory DEBUG Factory Request[4]
2018-01-18 11:03:55,667 machinedetest  pymodbus.datastore.context DEBUG validate[4] 2:8
2018-01-18 11:03:55,667 machinedetest  pymodbus.datastore.context DEBUG getValues[4] 2:8
2018-01-18 11:03:55,667 machinedetest  pymodbus.server.sync DEBUG send: 000d0000001301041000110011001100110011001100110011
2018-01-18 11:03:55,669 machinedetest  pymodbus.server.sync DEBUG 0x0 0xe 0x0 0x0 0x0 0x1b 0x1 0x17 0x0 0x1 0x0 0x8 0x0 0x1 0x0 0x8 0x10 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14
2018-01-18 11:03:55,670 machinedetest  pymodbus.transaction DEBUG 0x0 0xe 0x0 0x0 0x0 0x1b 0x1 0x17 0x0 0x1 0x0 0x8 0x0 0x1 0x0 0x8 0x10 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14 0x0 0x14
2018-01-18 11:03:55,670 machinedetest  pymodbus.factory DEBUG Factory Request[23]
2018-01-18 11:03:55,670 machinedetest  pymodbus.datastore.context DEBUG validate[23] 2:8
2018-01-18 11:03:55,670 machinedetest  pymodbus.datastore.context DEBUG validate[23] 2:8
2018-01-18 11:03:55,670 machinedetest  pymodbus.datastore.context DEBUG setValues[23] 2:8
2018-01-18 11:03:55,671 machinedetest  pymodbus.datastore.context DEBUG getValues[23] 2:8
2018-01-18 11:03:55,671 machinedetest  pymodbus.server.sync DEBUG send: 000e0000001301171000140014001400140014001400140014
2018-01-18 11:03:55,672 machinedetest  pymodbus.server.sync DEBUG 0x0 0xf 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,673 machinedetest  pymodbus.transaction DEBUG 0x0 0xf 0x0 0x0 0x0 0x6 0x1 0x3 0x0 0x1 0x0 0x8
2018-01-18 11:03:55,673 machinedetest  pymodbus.factory DEBUG Factory Request[3]
2018-01-18 11:03:55,673 machinedetest  pymodbus.datastore.context DEBUG validate[3] 2:8
2018-01-18 11:03:55,673 machinedetest  pymodbus.datastore.context DEBUG getValues[3] 2:8
2018-01-18 11:03:55,673 machinedetest  pymodbus.server.sync DEBUG send: 000f0000001301031000140014001400140014001400140014
2018-01-18 11:03:55,677 machinedetest  pymodbus.server.sync DEBUG 
2018-01-18 11:03:55,681 machinedetest  pymodbus.transaction DEBUG 
2018-01-18 11:03:55,682 machinedetest  pymodbus.server.sync DEBUG Client Disconnected [127.0.0.1:35537]
2018-01-18 11:04:49,910 machinedetest  pymodbus.server.sync DEBUG Started thread to serve client at ('127.0.0.1', 57386)
2018-01-18 11:04:49,910 machinedetest  pymodbus.server.sync DEBUG Client Connected [127.0.0.1:57386]
2018-01-18 11:04:49,911 machinedetest  pymodbus.server.sync DEBUG 0x0 0x0 0x0 0x0 0x0 0x2 0x1 0x11
2018-01-18 11:04:49,911 machinedetest  pymodbus.transaction DEBUG 0x0 0x0 0x0 0x0 0x0 0x2 0x1 0x11
2018-01-18 11:04:49,911 machinedetest  pymodbus.factory DEBUG Factory Request[17]
2018-01-18 11:04:49,911 machinedetest  pymodbus.server.sync DEBUG send: 00000000000c01110950796d6f64627573ff
2018-01-18 11:04:49,911 machinedetest  pymodbus.server.sync DEBUG 
2018-01-18 11:04:49,912 machinedetest  pymodbus.transaction DEBUG 
2018-01-18 11:04:49,912 machinedetest  pymodbus.server.sync DEBUG Client Disconnected [127.0.0.1:57386]
2018-01-18 11:04:49,912 machinedetest  pymodbus.server.sync DEBUG Started thread to serve client at ('127.0.0.1', 57388)
2018-01-18 11:04:49,914 machinedetest  pymodbus.server.sync DEBUG Client Connected [127.0.0.1:57388]
2018-01-18 11:04:49,914 machinedetest  pymodbus.server.sync DEBUG 0x0 0x0 0x0 0x0 0x0 0x5 0x1 0x2b 0xe 0x1 0x0
2018-01-18 11:04:49,914 machinedetest  pymodbus.transaction DEBUG 0x0 0x0 0x0 0x0 0x0 0x5 0x1 0x2b 0xe 0x1 0x0
2018-01-18 11:04:49,915 machinedetest  pymodbus.factory DEBUG Factory Request[43]
2018-01-18 11:04:49,915 machinedetest  pymodbus.server.sync DEBUG send: 000000000025012b0e018300000300125363686e656964657220456c656374726963010253480203312e30
2018-01-18 11:04:49,915 machinedetest  pymodbus.server.sync DEBUG 
